gene	GSM1483739	GSM1483740	128-cell-1	128-cell-2	1k-cell-1	1k-cell-2	1-cell-1	1-cell-2
ENSDARG00000000001	0.0	0.0	16.521957	15.284247	15.825871	15.570283	4.390775	3.184019
ENSDARG00000000002	0.0	0.0	1.86024	1.3528	0.899969	1.14443	0.257569	0.302226
ENSDARG00000000018	13.322158	12.321843	66.284581	82.658196	121.458413	115.269659	6.423553	7.336075
ENSDARG00000000019	6.375638	15.702609	150.762069	157.24264	147.988597	152.256598	111.587071	123.019585
ENSDARG00000000068	0.0	16.202991	81.099786	79.921814	68.216066	72.893553	40.565718	46.588524
ENSDARG00000000069	23.525772	0.0	210.379371	237.942998	216.106305	207.221271	459.578965	541.592765
ENSDARG00000000086	0.0	0.0	16.592832	19.411916	23.527969	22.096793	1.936286	1.328488
ENSDARG00000000103	8.314004	0.0	25.000024	25.41999	28.71397	30.149496	13.697823	14.429198
ENSDARG00000000142	4.927494	0.0	22.058631	22.564963	20.708952	15.829406	1.883694	0.335858
ENSDARG00000000151	17.705015	0.0	25.261441	31.009771	24.156297	26.902706	3.7724	3.43686
ENSDARG00000000161	0.0	0.0	2.262798	0.673558	0.482512	0.972406	0.041548	0.051574
ENSDARG00000000175	0.0	53.828428	9.304967	7.361539	2.128723	3.610136	0.310825	0.0
ENSDARG00000000183	7.56316	0.550462	61.829051	62.83232	71.854126	75.247216	35.304185	31.433993
ENSDARG00000000189	2.326437	2.487802	11.819677	13.300398	17.29704	16.49602	7.667825	6.59766
ENSDARG00000000212	0.0	63.720087	1.332993	3.416834	0.499413	0.161271	0.951192	0.198017
ENSDARG00000000229	0.0	0.0	9.500552	7.816674	9.843759	7.325846	0.227153	0.344238
ENSDARG00000000241	2.252299	0.0	0.443773	0.477982	0.626937	0.647139	0.380409	0.44981
ENSDARG00000000324	0.0	0.0	29.1116	26.940145	27.377836	29.021234	20.378989	15.486726
ENSDARG00000000349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.760088
ENSDARG00000000369	0.0	0.0	0.0	0.619969	0.0	0.440903	0.223907	0.0
ENSDARG00000000370	0.0	0.0	0.259149	0.240727	0.105072	0.227704	0.049212	0.091729
ENSDARG00000000380	0.0	0.0	0.781658	0.0	0.17334	0.172559	0.0	0.105931
ENSDARG00000000394	17.400412	0.0	154.297816	151.679886	124.670675	127.179661	81.660492	80.612918
ENSDARG00000000423	0.0	25.981044	28.206733	28.059199	42.170768	43.121211	4.086595	4.489582
ENSDARG00000000442	14.252133	19.57365	105.590387	141.391472	143.973516	145.521783	21.943999	21.707794
ENSDARG00000000460	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000000472	0.0	0.0	4.011424	4.366879	4.233459	4.234539	1.322505	2.228307
ENSDARG00000000474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000000476	0.0	24.86602	29.663435	28.543898	23.620874	21.427368	5.443236	4.465352
ENSDARG00000000489	8.804365	16.817247	34.796254	32.527844	39.287284	44.464912	27.445082	27.422661
ENSDARG00000000503	0.0	0.0	0.0	0.061442	0.136741	0.048115	0.152166	0.0
ENSDARG00000000516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000000529	72.109626	30.641795	32.646245	41.0297	39.141524	43.197002	40.933157	53.544339
ENSDARG00000000540	3.114994	3.164046	50.83948	58.299528	63.03171	67.855013	55.472538	57.741335
ENSDARG00000000542	1.107212	3.197037	93.540581	112.11195	82.891537	90.38684	31.978959	34.872843
ENSDARG00000000551	0.0	0.0	2.34139	2.074353	2.205506	4.14471	1.108136	1.924288
ENSDARG00000000563	0.183154	0.0	0.026721	0.024099	0.012451	0.035585	0.012359	0.032421
ENSDARG00000000567	0.753842	0.0	3.32738	2.503644	3.074401	1.772499	0.936624	1.444328
ENSDARG00000000568	6.105275	21.453925	187.253567	192.183513	206.959681	190.879944	107.33161	119.135731
ENSDARG00000000588	2.579847	51.115448	34.003483	40.044112	49.126874	48.626655	7.277584	4.264284
ENSDARG00000000606	0.0	0.0	0.024302	0.0	0.0	0.0	0.0	0.0
ENSDARG00000000631	0.0	2.664799	62.880987	68.000845	69.92639	69.271679	4.788503	4.664061
ENSDARG00000000638	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSDARG00000000651	0.0	0.0	0.0	0.285794	0.0	0.0	0.0	0.0
ENSDARG00000000656	0.0	0.0	0.38144	0.0	0.314573	1.574162	0.325545	0.396589
ENSDARG00000000666	2.849459	0.0	1.483573	1.412925	2.23154	4.869093	0.311597	0.563047
ENSDARG00000000690	2.478329	0.0	5.219793	4.446245	4.183788	4.675336	10.955868	12.501189
ENSDARG00000000729	14.596948	17.412581	171.008153	171.139653	155.474836	155.748832	137.384358	167.491325
ENSDARG00000000730	10.256815	14.735468	43.130672	50.704424	62.513021	64.298489	64.753948	69.618245
ENSDARG00000000747	15.291461	0.0	26.505479	27.636588	20.557039	22.051526	9.137684	10.277971
ENSDARG00000000760	43.363006	0.0	19.914949	25.057471	36.269216	33.427653	10.897055	15.880303
