gene	GSM1483739	GSM1483740	128-cell-1	128-cell-2	1k-cell-1	1k-cell-2	1-cell-1	1-cell-2
ENSDARG00000000001	0	0	94	80	112	107	30	18
ENSDARG00000000002	0	0	19	12	11	14	3	3
ENSDARG00000000018	113	44	491	561	1071	1012	56	53
ENSDARG00000000019	47	48	1042	1047	1341	1305	904	868
ENSDARG00000000068	0	23	496	425	487	526	291	276
ENSDARG00000000069	185	0	603	580	732	683	1549	1412
ENSDARG00000000086	0	0	289	279	368	424	43	23
ENSDARG00000000103	47	0	745	638	959	1037	474	406
ENSDARG00000000142	16	0	68	61	75	58	7	1
ENSDARG00000000151	21	0	171	165	216	248	30	26
ENSDARG00000000161	0	0	12	5	11	10	1	1
ENSDARG00000000175	0	59	52	37	14	24	2	0
ENSDARG00000000183	50	4	753	677	1054	1077	511	409
ENSDARG00000000189	42	19	220	216	380	359	169	126
ENSDARG00000000212	0	20	7	14	3	1	6	1
ENSDARG00000000229	0	0	83	61	92	89	4	5
ENSDARG00000000241	20	0	4	4	7	7	4	4
ENSDARG00000000324	0	0	199	154	211	233	163	99
ENSDARG00000000349	0	0	0	0	0	0	0	2
ENSDARG00000000369	0	0	0	2	0	2	1	0
ENSDARG00000000370	0	0	9	7	4	9	2	3
ENSDARG00000000380	0	0	1	0	2	2	0	1
ENSDARG00000000394	81	0	1508	1264	1443	1462	846	745
ENSDARG00000000423	0	32	140	124	257	258	24	22
ENSDARG00000000442	161	81	563	727	976	943	138	114
ENSDARG00000000460	0	0	0	0	0	0	0	0
ENSDARG00000000472	0	0	41	37	50	51	16	22
ENSDARG00000000474	0	0	0	0	0	0	0	0
ENSDARG00000000476	0	26	291	235	264	245	62	41
ENSDARG00000000489	28	24	297	244	412	460	270	230
ENSDARG00000000503	0	0	0	1	3	1	3	0
ENSDARG00000000516	0	0	0	0	0	0	0	0
ENSDARG00000000529	89	16	380	399	504	577	573	597
ENSDARG00000000540	69	27	345	349	509	549	419	369
ENSDARG00000000542	24	29	735	765	783	837	288	258
ENSDARG00000000551	0	0	22	19	17	36	8	12
ENSDARG00000000563	30	0	7	6	4	12	4	9
ENSDARG00000000567	11	0	52	36	58	33	17	22
ENSDARG00000000568	45	74	2156	2028	2894	2625	1428	1356
ENSDARG00000000588	14	112	218	232	380	372	55	27
ENSDARG00000000606	0	0	1	0	0	0	0	0
ENSDARG00000000631	0	18	736	853	1125	1119	76	61
ENSDARG00000000638	0	0	0	0	0	0	0	0
ENSDARG00000000651	0	0	0	1	0	0	0	0
ENSDARG00000000656	0	0	1	0	1	5	1	1
ENSDARG00000000666	17	0	8	7	15	32	2	3
ENSDARG00000000690	21	0	17	14	18	19	42	41
ENSDARG00000000729	54	27	1622	1397	1859	1863	1617	1623
ENSDARG00000000730	42	26	259	278	473	464	455	409
ENSDARG00000000747	40	0	208	181	187	202	86	78
ENSDARG00000000760	48	0	54	58	126	115	35	43
ENSDARG00000000767	0	0	0	1	0	0	0	0
ENSDARG00000000779	21	0	451	330	486	441	118	118
ENSDARG00000000796	0	0	171	167	69	59	118	117
ENSDARG00000000804	1	0	0	1	2	5	3	0
ENSDARG00000000830	0	0	177	162	159	191	19	36
ENSDARG00000000837	18	0	212	184	308	342	82	70
ENSDARG00000000853	77	37	2251	1817	1640	1912	3405	2890
ENSDARG00000000857	106	63	957	1007	1180	1209	460	324
ENSDARG00000000861	29	0	1918	1708	2142	2270	1926	1830
ENSDARG00000000887	1233	243	2705	2503	4042	3845	5172	4583
ENSDARG00000000906	0	0	36	33	62	77	22	21
ENSDARG00000000935	0	0	138	118	211	183	45	42
ENSDARG00000000943	0	0	8	5	0	1	0	3
ENSDARG00000000966	34	13	1340	1285	1455	1619	408	374
ENSDARG00000001014	1	0	490	391	342	482	259	224
ENSDARG00000001015	0	0	45	50	77	57	18	6
ENSDARG00000001057	37	33	156	136	127	178	13	14
ENSDARG00000001127	0	0	4	4	2	6	1	2
ENSDARG00000001129	69	49	903	874	1394	1444	211	192
ENSDARG00000001154	0	0	0	0	1	1	0	0
ENSDARG00000001162	145	20	1072	998	1326	1381	106	88
ENSDARG00000001169	0	0	35	40	77	70	36	13
ENSDARG00000001210	430	110	280	281	401	364	1466	1261
ENSDARG00000001220	84	33	468	413	581	641	261	207
ENSDARG00000001234	0	0	63	43	7	1	0	0
